,price,Position,combinedForecast,Profit&Loss,Profit&Loss
1982-02-03,,,,,
1982-02-04,,,,,
1982-02-05,,,,,
1982-02-08,,,,,
1982-02-09,,,,,
1982-02-10,,,,,
1982-02-11,,,,,
1982-02-12,,,,,
1982-02-15,,,,,
1982-02-16,,,,,
1982-02-17,,,,,
1982-02-18,,,,,
1982-02-19,,,,,
1982-02-22,,,,,
1982-02-23,,,,,
1982-02-24,,,,,
1982-02-25,,,,,
1982-02-26,,,,,
1982-03-01,,,,,
1982-03-02,,,,,
1982-03-03,,,,,
1982-03-04,,,,,
1982-03-05,,,,,
1982-03-08,,,,,
1982-03-09,,,,,
1982-03-10,,,,,
1982-03-11,,,,,
1982-03-12,,,,,
1982-03-15,,,,,
1982-03-16,,,,,
1982-03-17,,,,,
1982-03-18,,,,,
1982-03-19,,,,,
1982-03-22,,,,,
1982-03-23,,,,,
1982-03-24,,,,,
1982-03-25,,,,,
1982-03-26,,,,,
1982-03-29,,,,,
1982-03-30,,,,,
1982-03-31,,,,,
1982-04-01,,,,,
1982-04-02,,,,,
1982-04-05,,,,,
1982-04-06,,,,,
1982-04-07,,,,,
1982-04-08,,,,,
1982-04-09,,,,,
1982-04-12,,,,,
1982-04-13,,,,,
1982-04-14,,,,,
1982-04-15,,,,,
1982-04-16,,,,,
1982-04-19,,,,,
1982-04-20,,,,,
1982-04-21,,,,,
1982-04-22,,,,,
1982-04-23,,,,,
1982-04-26,,,,,
1982-04-27,,,,,
1982-04-28,,,,,
1982-04-29,,,,,
1982-04-30,,,,,
1982-05-03,,,,,
1982-05-04,,,,,
1982-05-05,,,,,
1982-05-06,,,,,
1982-05-07,,,,,
1982-05-10,,,,,
1982-05-11,,,,,
1982-05-12,,,,,
1982-05-13,,,,,
1982-05-14,,,,,
1982-05-17,,,,,
1982-05-18,,,,,
1982-05-19,,,,,
1982-05-20,,,,,
1982-05-21,,,,,
1982-05-24,,,,,
1982-05-25,,,,,
1982-05-26,,,,,
1982-05-27,,,,,
1982-05-28,,,,,
1982-05-31,,,,,
1982-06-01,,,,,
1982-06-02,,,,,
1982-06-03,,,,,
1982-06-04,,,,,
1982-06-07,,,,,
1982-06-08,,,,,
1982-06-09,,,,,
1982-06-10,,,,,
1982-06-11,,,,,
1982-06-14,,,,,
1982-06-15,,,,,
1982-06-16,,,,,
1982-06-17,,,,,
1982-06-18,,,,,
1982-06-21,,,,,
1982-06-22,,,,,
1982-06-23,,,,,
1982-06-24,,,,,
1982-06-25,,,,,
1982-06-28,,,,,
1982-06-29,,,,,
1982-06-30,,,,,
1982-07-01,,,,,
1982-07-02,,,,,
1982-07-05,,,,,
1982-07-06,,,,,
1982-07-07,,,,,
1982-07-08,,,,,
1982-07-09,,,,,
1982-07-12,,,,,
1982-07-13,,,,,
1982-07-14,,,,,
1982-07-15,,,,,
1982-07-16,,,,,
1982-07-19,,,,,
1982-07-20,,,,,
1982-07-21,,,,,
1982-07-22,,,,,
1982-07-23,,,,,
1982-07-26,,,,,
1982-07-27,,,,,
1982-07-28,,,,,
1982-07-29,,,,,
1982-07-30,,,,,
1982-08-02,,,,,
1982-08-03,,,,,
1982-08-04,,,,,
1982-08-05,,,,,
1982-08-06,,,,,
1982-08-09,,,,,
1982-08-10,,,,,
1982-08-11,,,,,
1982-08-12,,,,,
1982-08-13,,,,,
1982-08-16,,,,,
1982-08-17,,,,,
1982-08-18,,,,,
1982-08-19,,,,,
1982-08-20,,,,,
1982-08-23,,,,,
1982-08-24,,,,,
1982-08-25,,,,,
1982-08-26,,,,,
1982-08-27,,,,,
1982-08-30,,,,,
1982-08-31,,,,,
1982-09-01,,,,,
1982-09-02,,,,,
1982-09-03,,,,,
1982-09-06,,,,,
1982-09-07,,,,,
1982-09-08,,,,,
1982-09-09,,,,,
1982-09-10,,,,,
1982-09-13,,,,,
1982-09-14,,,,,
1982-09-15,,,,,
1982-09-16,,,,,
1982-09-17,,,,,
1982-09-20,,,,,
1982-09-21,,,,,
1982-09-22,,,,,
1982-09-23,,,,,
1982-09-24,,,,,
1982-09-27,,,,,
1982-09-28,,,,,
1982-09-29,,,,,
1982-09-30,,,,,
1982-10-01,,,,,
1982-10-04,,,,,
1982-10-05,,,,,
1982-10-06,,,,,
1982-10-07,,,,,
1982-10-08,,,,,
1982-10-11,,,,,
1982-10-12,,,,,
1982-10-13,,,,,
1982-10-14,,,,,
1982-10-15,,,,,
1982-10-18,,,,,
1982-10-19,,,,,
1982-10-20,,,,,
1982-10-21,,,,,
1982-10-22,,,,,
1982-10-25,,,,,
1982-10-26,,,,,
1982-10-27,,,,,
1982-10-28,,,,,
1982-10-29,,,,,
1982-11-01,,,,,
1982-11-02,,,,,
1982-11-03,,,,,
1982-11-04,,,,,
1982-11-05,,,,,
1982-11-08,,,,,
1982-11-09,,,,,
1982-11-10,,,,,
1982-11-11,,,,,
1982-11-12,,,,,
1982-11-15,,,,,
1982-11-16,,,,,
1982-11-17,,,,,
1982-11-18,,,,,
1982-11-19,,,,,
1982-11-22,,,,,
1982-11-23,,,,,
1982-11-24,,,,,
1982-11-25,,,,,
1982-11-26,,,,,
1982-11-29,,,,,
1982-11-30,,,,,
1982-12-01,,,,,
1982-12-02,,,,,
1982-12-03,,,,,
1982-12-06,,,,,
1982-12-07,,,,,
1982-12-08,,,,,
1982-12-09,,,,,
1982-12-10,,,,,
1982-12-13,,,,,
1982-12-14,,,,,
1982-12-15,,,,,
1982-12-16,,,,,
1982-12-17,,,,,
1982-12-20,,,,,
1982-12-21,,,,,
1982-12-22,,,,,
1982-12-23,,,,,
1982-12-24,,,,,
1982-12-27,,,,,
1982-12-28,,,,,
1982-12-29,,,,,
1982-12-30,,,,,
1982-12-31,,,,,
1983-01-03,,,,,
1983-01-04,,,,,
1983-01-05,,,,,
1983-01-06,,,,,
1983-01-07,,,,,
1983-01-10,,,,,
1983-01-11,,,,,
1983-01-12,,,,,
1983-01-13,,,,,
1983-01-14,,,,,
1983-01-17,,,,,
1983-01-18,,,,,
1983-01-19,,,,,
1983-01-20,,,,,
1983-01-21,,,,,
1983-01-24,,,,,
1983-01-25,,,,,
1983-01-26,,,,,
1983-01-27,,,,,
1983-01-28,,,,,
1983-01-31,,,,,
1983-02-01,,,,,
1983-02-02,,,,,
1983-02-03,,,,,
1983-02-04,,,,,
1983-02-07,,,,,
1983-02-08,,,,,
1983-02-09,,,,,
1983-02-10,,,,,
1983-02-11,,,,,
1983-02-14,,,,,
1983-02-15,,,,,
1983-02-16,,,,,
1983-02-17,,,,,
1983-02-18,,,,,
1983-02-21,,,,,
1983-02-22,,,,,
1983-02-23,,,,,
1983-02-24,,,,,
1983-02-25,,,,,
1983-02-28,,,,,
1983-03-01,,,,,
1983-03-02,,,,,
1983-03-03,,,,,
1983-03-04,,,,,
1983-03-07,,,,,
1983-03-08,,,,,
1983-03-09,,,,,
1983-03-10,,,,,
1983-03-11,,,,,
1983-03-14,,,,,
1983-03-15,,,,,
1983-03-16,,,,,
1983-03-17,,,,,
1983-03-18,,,,,
1983-03-21,,,,,
1983-03-22,,,,,
1983-03-23,,,,,
1983-03-24,,,,,
1983-03-25,,,,,
1983-03-28,,,,,
1983-03-29,,,,,
1983-03-30,,,,,
1983-03-31,,,,,
1983-04-01,,,,,
1983-04-04,,,,,
1983-04-05,,,,,
1983-04-06,,,,,
1983-04-07,,,,,
1983-04-08,,,,,
1983-04-11,,,,,
1983-04-12,,,,,
1983-04-13,,,,,
1983-04-14,,,,,
1983-04-15,,,,,
1983-04-18,,,,,
1983-04-19,,,,,
1983-04-20,,,,,
1983-04-21,,,,,
1983-04-22,,,,,
1983-04-25,,,,,
1983-04-26,,,,,
1983-04-27,,,,,
1983-04-28,,,,,
1983-04-29,,,,,
1983-05-02,,,,,
1983-05-03,,,,,
1983-05-04,,,,,
1983-05-05,,,,,
1983-05-06,,,,,
1983-05-09,,,,,
1983-05-10,,,,,
1983-05-11,,,,,
1983-05-12,,,,,
1983-05-13,,,,,
1983-05-16,,,,,
1983-05-17,,,,,
1983-05-18,,,,,
1983-05-19,,,,,
1983-05-20,,,,,
1983-05-23,,,,,
1983-05-24,,,,,
1983-05-25,,,,,
1983-05-26,,,,,
1983-05-27,,,,,
1983-05-30,,,,,
1983-05-31,,,,,
1983-06-01,,,,,
1983-06-02,,,,,
1983-06-03,,,,,
1983-06-06,,,,,
1983-06-07,,,,,
1983-06-08,,,,,
1983-06-09,,,,,
1983-06-10,,,,,
1983-06-13,,,,,
1983-06-14,,,,,
1983-06-15,,,,,
1983-06-16,,,,,
1983-06-17,,,,,
1983-06-20,,,,,
1983-06-21,,,,,
1983-06-22,,,,,
1983-06-23,,,,,
1983-06-24,,,,,
1983-06-27,,,,,
1983-06-28,,,,,
1983-06-29,,,,,
1983-06-30,,,,,
1983-07-01,,,,,
1983-07-04,,,,,
1983-07-05,,,,,
1983-07-06,,,,,
1983-07-07,,,,,
1983-07-08,,,,,
1983-07-11,,,,,
1983-07-12,,,,,
1983-07-13,,,,,
1983-07-14,,,,,
1983-07-15,,,,,
1983-07-18,,,,,
1983-07-19,,,,,
1983-07-20,,,,,
1983-07-21,,,,,
1983-07-22,,,,,
1983-07-25,,,,,
1983-07-26,,,,,
1983-07-27,,,,,
1983-07-28,,,,,
1983-07-29,,,,,
1983-08-01,,,,,
1983-08-02,,,,,
1983-08-03,,,,,
1983-08-04,,,,,
1983-08-05,,,,,
1983-08-08,,,,,
1983-08-09,,,,,
1983-08-10,,,,,
1983-08-11,,,,,
1983-08-12,,,,,
1983-08-15,,,,,
1983-08-16,,,,,
1983-08-17,,,,,
1983-08-18,,,,,
1983-08-19,,,,,
1983-08-22,,,,,
1983-08-23,,,,,
1983-08-24,,,,,
1983-08-25,,,,,
1983-08-26,,,,,
1983-08-29,,,,,
1983-08-30,,,,,
1983-08-31,,,,,
1983-09-01,,,,,
1983-09-02,,,,,
1983-09-05,,,,,
1983-09-06,,,,,
1983-09-07,,,,,
1983-09-08,,,,,
1983-09-09,,,,,
1983-09-12,,,,,
1983-09-13,,,,,
1983-09-14,,,,,
1983-09-15,,,,,
1983-09-16,,,,,
1983-09-19,,,,,
1983-09-20,,,,,
1983-09-21,,,,,
1983-09-22,,,,,
1983-09-23,,,,,
1983-09-26,71.13119230769227,0.0,0.0,,
1983-09-27,71.02119230769227,0.0,0.0,0.0,0.0
1983-09-28,70.97119230769228,0.0,0.0,0.0,0.0
1983-09-29,70.95119230769225,0.0,0.0,0.0,0.0
1983-09-30,70.99119230769227,0.0,0.0,0.0,0.0
1983-10-03,71.02119230769227,0.0,0.0,0.0,0.0
1983-10-04,71.02119230769227,0.0,0.0,0.0,0.0
1983-10-05,71.08119230769228,0.0,0.0,0.0,0.0
1983-10-06,71.09119230769225,0.0,0.0,0.0,0.0
1983-10-07,71.10119230769227,0.0,0.0,0.0,0.0
1983-10-10,71.10119230769227,0.0,0.05382415974572662,-6.331918783132186e-05,-6.331918783132186e-05
1983-10-11,70.95119230769225,0.0,0.0184917851462985,-0.00012610329298733285,-0.0001894224808186547
1983-10-12,70.99119230769227,0.0,-0.004300248290063045,-0.00018835730035629366,-0.00037777978117494837
1983-10-13,70.95119230769225,0.0,-0.0678828015447797,-0.0002500861381873502,-0.0006278659193622986
1983-10-14,71.01119230769227,0.0,-0.08048064530645203,-0.00031129467894155656,-0.0009391605983038551
1983-10-17,71.14119230769225,0.0,0.03719797401386234,-0.0003719877401265673,-0.0013111483384304224
1983-10-18,71.09119230769225,0.0,0.09545120991590829,-0.0004321700851153611,-0.0017433184235457835
1983-10-19,71.09119230769225,0.0,0.15741321387973845,-0.0004918464239493478,-0.0022351648474951314
1983-10-20,71.05119230769228,0.0,0.16338510023221295,-0.0005510214141261991,-0.0027861862616213305
1983-10-21,71.05119230769228,0.0,0.17086664982588395,-0.0006096996613727521,-0.0033958859229940826
1983-10-24,70.94119230769228,0.0,-0.0040123148320772226,-0.000667885720403296,-0.004063771643397379
1983-10-25,70.92119230769225,0.0,-0.1911748631880185,-0.0007255840956635765,-0.004789355739060955
1983-10-26,70.92119230769225,0.0,-0.3732178250917665,-0.0007827992420608209,-0.005572154981121776
1983-10-27,70.93119230769227,0.0,-0.5274325342037505,-0.0008395355656801023,-0.006411690546801878
1983-10-28,70.90119230769227,0.0,-0.7355634473994193,-0.0008957974244873249,-0.007307487971289203
1983-10-31,70.85119230769227,0.0,-1.0299189684837287,-0.0009515891290191349,-0.008259077100308338
1983-11-01,70.83119230769228,0.0,-1.3675299334006696,-0.0010069149430600322,-0.00926599204336837
1983-11-02,70.83119230769228,0.0,-1.6826176955011223,-0.0010617790843069769,-0.010327771127675347
1983-11-03,70.73119230769225,0.0,-2.057236531692668,-0.0011161857250217306,-0.011443956852697078
1983-11-04,70.56119230769225,0.0,-2.421074195846418,-0.001170138992671238,-0.012614095845368316
1983-11-07,70.58119230769228,0.0,-3.0252745464258948,-0.0012236429705562712,-0.013837738815924587
1983-11-08,70.64119230769225,0.0,-3.2975462544544953,-0.0012767016984286152,-0.015114440514353202
1983-11-09,70.65119230769227,0.0,-3.657861312392926,-0.0013293191730970183,-0.01644375968745022
1983-11-10,70.77119230769227,0.0,-3.2503746230202784,-0.0013814993490221979,-0.01782525903647242
1983-11-11,70.89119230769225,0.0,-2.741777241600945,-0.0014332461389010252,-0.019258505175373444
1983-11-14,70.80119230769228,0.0,-2.6312485917412496,-0.0014845634142402857,-0.02074306858961373
1983-11-15,70.73119230769225,0.0,-2.7288955726429767,-0.001535455005920082,-0.02227852359553381
1983-11-16,70.73119230769225,0.0,-2.869446140377595,-0.001585924704747197,-0.02386444830028101
1983-11-17,70.67119230769225,0.0,-3.096109155931507,-0.0016359762619985903,-0.0255004245622796
1983-11-18,70.67119230769225,0.0,-3.339931453297454,-0.0016856133899552407,-0.02718603795223484
1983-11-21,70.76119230769227,0.0,-3.1336032033439487,-0.0017348397624265544,-0.028920877714661394
1983-11-22,70.83119230769228,0.0,-2.858976249231348,-0.0017836590152655318,-0.030704536729926925
1983-11-23,70.84119230769225,0.0,-2.6737715443636625,-0.001832074746874881,-0.032536611476801806
1983-11-24,,0.0,-2.693078089075661,-0.001880090518704254,-0.03441670199550606
1983-11-25,,0.0,-2.7116578330057486,-0.0019277098557388683,-0.03634441185124493
1983-11-28,70.75119230769226,0.0,-2.710777754579996,-0.0019749362469795514,-0.03831934809822448
1983-11-29,70.83119230769228,0.0,-2.4041284542279864,-0.0020217731459145627,-0.04034112124413904
1983-11-30,70.79119230769227,0.0,-2.3443468798547564,-0.0020682239709832184,-0.04240934521512226
1983-12-01,70.78119230769225,0.0,-2.3535935082626884,-0.002114292106031583,-0.044523637321153844
1983-12-02,70.66119230769227,0.0,-2.5055759978601007,-0.0021599809007603055,-0.04668361822191415
1983-12-05,70.66119230769227,0.0,-2.8436744229167457,-0.0022052936711648916,-0.04888891189307904
1983-12-06,70.66119230769227,0.0,-3.144292653241426,-0.0022502336999684278,-0.05113914559304747
1983-12-07,70.64119230769225,0.0,-3.4754272754113473,-0.0022948042370469976,-0.05343394983009447
1983-12-08,70.54119230769227,0.0,-3.861866430931656,-0.002339008499847965,-0.05577295832994243
1983-12-09,,0.0,-3.878398547395484,-0.0023828496738011185,-0.05815580800374355
1983-12-12,70.55119230769228,0.0,-4.3148043291463445,-0.002426330912723082,-0.06058213891646663
1983-12-13,70.42119230769225,0.0,-4.79686594213796,-0.0024694553392148183,-0.06305159425568145
1983-12-14,70.44119230769228,0.0,-5.452877315538318,-0.002512226045052704,-0.06556382030073415
1983-12-15,70.46119230769227,0.0,-5.950613739534884,-0.0025546460915729374,-0.06811846639230709
1983-12-16,70.59119230769225,0.0,-5.201195134175744,-0.002596718510049778,-0.07071518490235687
1983-12-19,70.60119230769227,0.0,-5.19332607837616,-0.0026384463020674848,-0.07335363120442435
1983-12-20,70.59119230769225,0.0,-5.225296198674546,-0.0026798324398861623,-0.07603346364431052
1983-12-21,70.66119230769227,0.0,-4.8411389505151305,-0.002720879866801723,-0.07875434351111224
1983-12-22,70.76119230769227,0.0,-4.074839453188323,-0.002761591497499924,-0.08151593500861216
1983-12-23,70.73119230769225,0.0,-3.7166602097496466,-0.0028019702184046563,-0.08431790522701682
1983-12-26,,0.0,-3.7290215482863993,-0.002842018888020853,-0.08715992411503767
1983-12-27,70.82119230769227,0.0,-2.951213142416527,-0.00288174033727151,-0.09004166445230918
1983-12-28,70.78119230769225,0.0,-2.5000037554743124,-0.0029211373698296433,-0.09296280182213883
1983-12-29,70.85119230769227,0.0,-1.815801663001954,-0.002960212762444875,-0.0959230145845837
1983-12-30,70.80119230769228,0.0,-1.4327566385010815,-0.0029989692652647587,-0.09892198384984846
1984-01-02,,0.0,-1.4375965757689364,-0.0030374096021511393,-0.1019593934519996
1984-01-03,70.74119230769227,0.0,-1.288592369534845,-0.0030755364709914856,-0.10503492992299109
1984-01-04,70.85119230769227,0.0,-0.6947756197098554,-0.0031133525440053406,-0.10814828246699643
1984-01-05,70.87119230769225,0.0,-0.19489750450231275,-0.0031508604680460517,-0.11129914293504248
1984-01-06,70.88119230769227,0.0,0.2844332615536218,-0.0031880628648977144,-0.11448720579994019
1984-01-09,70.84119230769225,0.0,0.5409104112949707,-0.0032249623315676323,-0.11771216813150782
1984-01-10,70.90119230769227,0.0,0.9880578881533526,-0.0032615614405741566,-0.12097372957208198
1984-01-11,70.86119230769226,0.0,1.2147751186243672,-0.0032978627402302507,-0.12427159231231223
1984-01-12,70.86119230769225,0.0,1.4366083496253415,-0.003333868754922545,-0.12760546106723478
1984-01-13,71.05119230769225,0.0,1.8946230482099318,-0.0033695819853863662,-0.13097504305262114
1984-01-16,71.01119230769227,0.0,2.4033820282234886,-0.0034050049089763,-0.13438004796159744
1984-01-17,71.01119230769227,0.0,2.894358838432447,-0.0034401399799330323,-0.13782018794153048
1984-01-18,71.01119230769227,0.0,3.3375739462568133,-0.003474989629645847,-0.14129517757117632
1984-01-19,71.01119230769227,0.0,3.738236839897668,-0.003509556266911379,-0.1448047338380877
1984-01-20,70.96119230769227,0.0,3.818025906762106,-0.0035438422781885193,-0.14834857611627622
1984-01-23,70.96119230769227,0.0,3.980572530681996,-0.0035778500278494108,-0.15192642614412563
1984-01-24,70.96119230769227,0.0,4.128712791995185,-0.00361158185842686,-0.1555380080025525
1984-01-25,70.96119230769227,0.0,4.263654406483535,-0.003645040090858004,-0.1591830480934105
1984-01-26,70.99119230769227,0.0,4.487827763265047,-0.0036782270247245064,-0.162861275118135
1984-01-27,71.00119230769225,0.0,4.750794497549638,-0.0037111449384891193,-0.16657242005662412
1984-01-30,70.97119230769225,0.0,4.795867036538122,-0.003743796089728968,-0.1703162161463531
1984-01-31,70.93119230769227,0.0,4.62834540683605,-0.003776182715365367,-0.17409239886171846
1984-02-01,70.95119230769225,0.0,4.639460980610857,-0.0038083070318901957,-0.17790070589360865
1984-02-02,71.01119230769227,0.0,4.778347983996984,-0.003840171235589357,-0.181740877129198
1984-02-03,71.08119230769225,0.0,5.14744621900347,-0.0038717775027626022,-0.1856126546319606
1984-02-06,71.04119230769227,0.0,5.329582302316811,-0.003903127989940719,-0.18951578262190133
1984-02-07,71.03119230769225,0.0,5.554383465208236,-0.003934224834099137,-0.19345000745600047
1984-02-08,71.01119230769227,0.0,5.638637557462605,-0.003965070152868955,-0.19741507760886942
1984-02-09,70.95119230769225,0.0,5.22261248566046,-0.003995666044744717,-0.20141074365361414
1984-02-10,70.88119230769227,0.0,4.503199899577069,-0.004026014589289362,-0.2054367582429035
1984-02-13,70.85119230769227,0.0,3.9265067091176684,-0.0040561178473363935,-0.2094928760902399
1984-02-14,70.85119230769227,0.0,3.4326829257852083,-0.004085977861189055,-0.21357885395142895
1984-02-15,70.85119230769227,0.0,2.983169535996323,-0.004115596654817033,-0.21769445060624598
1984-02-16,70.81119230769225,0.0,2.3363979229182523,-0.004144976234050163,-0.22183942684029614
1984-02-17,70.73119230769225,0.0,1.295449480279216,-0.004174118586769637,-0.22601354542706578
1984-02-20,,0.0,1.2978869114380258,-0.004203025683096606,-0.2302165711101624
1984-02-21,70.71119230769227,0.0,0.2385368702517451,-0.004231699475578138,-0.23444827058574053
1984-02-22,70.68119230769227,0.0,-0.8274677163354777,-0.004260141899370712,-0.23870841248511124
1984-02-23,70.54119230769227,0.0,-2.137439036365074,-0.004288354872421296,-0.24299676735753253
1984-02-24,70.59119230769225,0.0,-3.0488466956684346,-0.0043163402956457875,-0.24731310765317832
1984-02-27,70.52119230769227,0.0,-4.16337833071883,-0.004344100053105371,-0.2516572077062837
1984-02-28,70.46119230769227,0.0,-5.433165918347218,-0.004371636012180158,-0.25602884371846385
1984-02-29,70.52119230769227,0.0,-5.976597947997148,-0.004398950023740966,-0.2604277937422048
1984-03-01,70.50119230769225,0.0,-6.847368460068344,-0.0044260439223184345,-0.26485383766452325
1984-03-02,70.64119230769225,0.0,-5.740650522919897,-0.004452919526270083,-0.26930675719079333
1984-03-05,70.58119230769225,0.0,-5.961247164253128,-0.004479578637945292,-0.2737863358287386
1984-03-06,70.57119230769227,0.0,-6.302241952537987,-0.00450602304384784,-0.27829235887258646
1984-03-07,70.50119230769225,0.0,-6.720899881194659,-0.004532254514796608,-0.2828246133873831
1984-03-08,70.44119230769225,0.0,-7.379520477252384,-0.004558274806084062,-0.28738288819346713
1984-03-09,70.37119230769225,0.0,-8.18784122006901,-0.004584085657632908,-0.29196697385110004
1984-03-12,70.35119230769226,0.0,-9.15248143274477,-0.004609688794150135,-0.2965766626452502
1984-03-13,70.36119230769225,0.0,-9.914499488765824,-0.004635085925280058,-0.30121174857053024
1984-03-14,70.30119230769225,0.0,-10.770986393155573,-0.00466027874575442,-0.30587202731628466
1984-03-15,70.32119230769226,0.0,-11.431486488001395,-0.00468526893554122,-0.3105572962518259
1984-03-16,70.28119230769225,0.0,-12.301905730675447,-0.004710058159991648,-0.3152673544118175
1984-03-19,70.14119230769225,0.0,-12.187604566227444,-0.004734648069984637,-0.32000200248180216
1984-03-20,69.96119230769226,0.0,-12.067065492829364,-0.004759040302070361,-0.3247610427838725
1984-03-21,70.00119230769225,0.0,-13.002643132420829,-0.004783236478611286,-0.3295442792624838
1984-03-22,69.96119230769226,0.0,-14.359854765727743,-0.004807238207921893,-0.3343515174704057
1984-03-23,69.95119230769225,0.0,-15.592317153248477,-0.0048310470844064035,-0.3391825645548121
1984-03-26,70.02119230769226,0.0,-15.457235330822465,-0.0048546646886951095,-0.3440372292435072
1984-03-27,70.01119230769226,0.0,-16.228283565080588,-0.004878092587778604,-0.3489153218312858
1984-03-28,70.02119230769226,0.0,-16.783419195190685,-0.004901332335140951,-0.35381665416642677
1984-03-29,69.99119230769226,0.0,-17.27934851947849,-0.004924385470890413,-0.3587410396373172
1984-03-30,69.87119230769225,0.0,-17.313594338979645,-0.004947253521889627,-0.3636882931592068
1984-04-02,69.82119230769226,0.0,-17.427167202316586,-0.004969938001883223,-0.36865823116109003
1984-04-03,69.67119230769225,0.0,-17.435037403759363,-0.004992440411624499,-0.37365067157271453
1984-04-04,69.67119230769225,0.0,-17.553109287812333,-0.0050147622390005475,-0.3786654338117151
1984-04-05,69.63119230769226,0.0,-17.68843193612087,-0.005036904959155597,-0.3837023387708707
1984-04-06,69.70119230769225,0.0,-17.703622225370314,-0.005058870034612972,-0.38876120880548365
1984-04-09,,0.0,-17.71355221162414,-0.005080658915395941,-0.3938418677208796
1984-04-10,69.59119230769225,0.0,-17.80531713969946,-0.005102273039146676,-0.39894414076002627
1984-04-11,69.63119230769226,0.0,-17.88815750474816,-0.005123713831244214,-0.4040678545912705
1984-04-12,69.70119230769227,0.0,-17.910781658304806,-0.0051449827049204755,-0.40921283729619096
1984-04-13,69.57119230769226,0.0,-17.912138469404585,-0.005166081061375782,-0.41437891835756674
1984-04-16,69.50119230769226,0.0,-18.030572225600856,-0.005187010289892102,-0.41956592864745884
1984-04-17,69.58119230769226,0.0,-18.03307272877923,-0.005207771767945735,-0.4247737004154046
1984-04-18,69.48119230769225,0.0,-18.103518960078535,-0.005228366861318223,-0.4300020672767228
1984-04-19,69.34119230769225,0.0,-18.11923707623477,-0.005248796924206212,-0.435250864200929
1984-04-20,,0.0,-18.12792069184162,-0.0052690632993299125,-0.4405199275002589
1984-04-23,69.29119230769226,0.0,-18.219845119371616,-0.005289167318040522,-0.44580909481829945
1984-04-24,69.27119230769226,0.0,-18.380361010571477,-0.005309110300426245,-0.4511182051187257
1984-04-25,69.37119230769225,0.0,-18.31913103137204,-0.005328893555417102,-0.4564470986741428
1984-04-26,69.39119230769226,0.0,-18.435836105735618,-0.005348518380888678,-0.46179561705503147
1984-04-27,69.28119230769227,0.0,-18.49049614402847,-0.005367986063764818,-0.4671636031187963
1984-04-30,69.26119230769226,0.0,-18.641555577811936,-0.005387297880118658,-0.47255090099891495
1984-05-01,69.33119230769226,0.0,-18.662733959154096,-0.005406455095273044,-0.477957356094188
1984-05-02,69.35119230769226,0.0,-18.778800530829518,-0.005425458963899843,-0.48338281505808783
1984-05-03,69.29119230769226,0.0,-18.897600433240367,-0.005444310730117641,-0.4888271257882055
1984-05-04,69.10119230769226,0.0,-18.685225650172587,-0.005463011627588887,-0.49429013741579436
1984-05-07,69.01119230769226,0.0,-18.805165076778664,-0.005481562879615709,-0.49977170029541007
1984-05-08,68.92119230769227,0.0,-18.93754362502297,-0.005499965699234721,-0.5052716659946448
1984-05-09,68.68119230769226,0.0,-18.693968690188676,-0.005518221289310898,-0.5107898872839557
